sampleNames;sample;Year;site;enrichment;enrichment;days;Period;folder;Info4;Expname;Experimentator;Csource;CsourceBeta;biomass.enriched;filter.fraction;oxygen;thiosulfate;ammonium;nitrite;nitrate;methylamine;cellulose;starch;veratric.acid;soil.seepage;necromass;R2A;leaf.leachate;16S.gene.copies.per.L;dev;PNK;Before
13CT3A;13CT3A;2018;H41;Autotrophy;Autotrophy;70;>3weeks;5-2018 11 21 H41 autotrophy;5-Autotrophy;H41AutoSIP;MT;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;3.14E+07;3.14E+07;1.15E+06;autotrophy
13CT3B;13CT3B;2018;H41;Autotrophy;Autotrophy;70;>3weeks;5-2018 11 21 H41 autotrophy;5-Autotrophy;H41AutoSIP;MT;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;3.58E+07;3.58E+07;5.50E+06;autotrophy
13CT3C;13CT3C;2018;H41;Autotrophy;Autotrophy;70;>3weeks;5-2018 11 21 H41 autotrophy;5-Autotrophy;H41AutoSIP;MT;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;6.56E+07;6.56E+07;9.04E+06;autotrophy
13LA;13LA;2018;H52;Autotrophy;Autotrophy;41;>3weeks;8-H52 Autotrophy SIP;8-Autotrophy;H52AutoSIPtest;MT;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
13LB;13LB;2018;H52;Autotrophy;Autotrophy;41;>3weeks;8-H52 Autotrophy SIP;8-Autotrophy;H52AutoSIPtest;MT;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
13LC;13LC;2018;H52;Autotrophy;Autotrophy;41;>3weeks;8-H52 Autotrophy SIP;8-Autotrophy;H52AutoSIPtest;MT;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
13SA;13SA;2018;H52;Autotrophy;Autotrophy;7;1week;8-H52 Autotrophy SIP;8-Autotrophy;H52AutoSIPtest;MT;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
13SB;13SB;2018;H52;Autotrophy;Autotrophy;7;1week;8-H52 Autotrophy SIP;8-Autotrophy;H52AutoSIPtest;MT;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
13SC;13SC;2018;H52;Autotrophy;Autotrophy;7;1week;8-H52 Autotrophy SIP;8-Autotrophy;H52AutoSIPtest;MT;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
14-JS;14-JS;NA;H41;starch;13SA-II-2-DNA-JS;70;>3weeks;16-cellulose;13C;starch;MT;organic_defined;organic_defined;NA;0.2;oxic;no;no;no;no;no;no;yes;no;no;no;no;no;NA;NA;NA;organic_defined
